open_time,close,model_name,fold,task,y_true,y_pred,y_prob,signal_raw,signal_exec,equity,buy_hold_equity,strategy_return,rolling_peak,drawdown
2025-07-08 02:30:00,2539.68,hist_gradient_boosting,1,binary,0,1,0.8637570041660276,1,0,10000.0,10000.0,0.0,10000.0,0.0
2025-07-08 03:30:00,2536.33,hist_gradient_boosting,1,binary,0,1,0.9013312523458488,1,1,9991.004497751124,9986.809361809363,-0.0008995502248875242,10000.0,-0.0008995502248875242
2025-07-08 04:30:00,2542.29,hist_gradient_boosting,1,binary,0,0,0.4067100410881512,0,1,10014.481879167028,10010.276885276886,0.0023498519514417726,10014.481879167028,0.0
2025-07-08 05:30:00,2540.58,hist_gradient_boosting,1,binary,1,1,0.5710042032550263,0,0,10007.7459190628,10003.543753543754,-0.0006726219274749701,10014.481879167028,-0.0006726219274749701
2025-07-08 06:30:00,2526.96,hist_gradient_boosting,1,binary,1,1,0.9165557948684844,1,0,9945.137893396306,9949.914949914952,-0.006255956753182357,10014.481879167028,-0.006924370786967726
2025-07-08 07:30:00,2528.01,hist_gradient_boosting,1,binary,1,1,0.8344806962581625,1,1,9936.191742367764,9954.04932904933,-0.0008995502248875242,10014.481879167028,-0.007817692192556569
2025-07-08 08:30:00,2538.34,hist_gradient_boosting,1,binary,1,1,0.668847137270887,1,1,9976.793188049805,9994.723744723746,0.004086218013378051,10014.481879167028,-0.0037634189738388057
2025-07-08 09:30:00,2543.63,hist_gradient_boosting,1,binary,1,0,0.4930827342363876,0,1,9997.585215896659,10015.553140553142,0.0020840391752090515,10014.481879167028,-0.0016872229112040449
2025-07-08 10:30:00,2552.15,hist_gradient_boosting,1,binary,0,0,0.3799266578106445,0,0,10022.046606000167,10049.100674100675,0.0024467298427837125,10022.046606000167,0.0
2025-07-08 11:30:00,2559.07,hist_gradient_boosting,1,binary,1,0,0.4578103963215273,0,0,10022.046606000167,10076.348201348203,0.0,10022.046606000167,0.0
2025-07-08 12:30:00,2553.42,hist_gradient_boosting,1,binary,1,0,0.3212025681064028,0,0,10022.046606000167,10054.101304101307,0.0,10022.046606000167,0.0
2025-07-08 13:30:00,2546.18,hist_gradient_boosting,1,binary,1,0,0.3460252519996742,0,0,10022.046606000167,10025.593775593776,0.0,10022.046606000167,0.0
2025-07-08 14:30:00,2552.01,hist_gradient_boosting,1,binary,1,0,0.0915393056604661,0,0,10022.046606000167,10048.549423549424,0.0,10022.046606000167,0.0
2025-07-08 15:30:00,2565.97,hist_gradient_boosting,1,binary,0,0,0.1721536735478061,0,0,10022.046606000167,10103.516978516978,0.0,10022.046606000167,0.0
2025-07-08 16:30:00,2575.15,hist_gradient_boosting,1,binary,0,0,0.2943289172656229,0,0,10022.046606000167,10139.663264663266,0.0,10022.046606000167,0.0
2025-07-08 17:30:00,2583.07,hist_gradient_boosting,1,binary,0,0,0.2249404391392941,0,0,10022.046606000167,10170.848295848298,0.0,10022.046606000167,0.0
2025-07-08 18:30:00,2588.11,hist_gradient_boosting,1,binary,1,1,0.55570391983874,0,0,10022.046606000167,10190.693315693317,0.0,10022.046606000167,0.0
2025-07-08 19:30:00,2563.99,hist_gradient_boosting,1,binary,1,0,0.4270325435681014,0,0,10022.046606000167,10095.72072072072,0.0,10022.046606000167,0.0
2025-07-08 20:30:00,2564.68,hist_gradient_boosting,1,binary,1,1,0.5695367856713067,0,0,10022.046606000167,10098.437598437597,0.0,10022.046606000167,0.0
2025-07-08 21:30:00,2576.17,hist_gradient_boosting,1,binary,1,0,0.3354772565283168,0,0,10022.046606000167,10143.67951867952,0.0,10022.046606000167,0.0
2025-07-08 22:30:00,2616.65,hist_gradient_boosting,1,binary,0,0,0.2353262247352128,0,0,10022.046606000167,10303.069678069678,0.0,10022.046606000167,0.0
2025-07-08 23:30:00,2625.06,hist_gradient_boosting,1,binary,0,0,0.1950712020923442,0,0,10022.046606000167,10336.184086184086,0.0,10022.046606000167,0.0
2025-07-09 00:30:00,2610.61,hist_gradient_boosting,1,binary,1,0,0.179824910277707,0,0,10022.046606000167,10279.287154287156,0.0,10022.046606000167,0.0
2025-07-09 01:30:00,2598.42,hist_gradient_boosting,1,binary,1,1,0.5331245642539912,0,0,10022.046606000167,10231.288981288983,0.0,10022.046606000167,0.0
2025-07-09 02:30:00,2609.27,hist_gradient_boosting,1,binary,0,0,0.0724210222957234,0,0,10022.046606000167,10274.010899010898,0.0,10022.046606000167,0.0
2025-07-09 03:30:00,2610.56,hist_gradient_boosting,1,binary,0,0,0.1340629711135172,0,0,10022.046606000167,10279.09027909028,0.0,10022.046606000167,0.0
2025-07-09 04:30:00,2615.25,hist_gradient_boosting,1,binary,0,0,0.027034607749545,0,0,10022.046606000167,10297.557172557172,0.0,10022.046606000167,0.0
2025-07-09 05:30:00,2613.27,hist_gradient_boosting,1,binary,0,0,0.1350880758275907,0,0,10022.046606000167,10289.760914760915,0.0,10022.046606000167,0.0
2025-07-09 06:30:00,2605.0,hist_gradient_boosting,1,binary,1,0,0.1806427881571485,0,0,10022.046606000167,10257.197757197759,0.0,10022.046606000167,0.0
2025-07-09 07:30:00,2602.81,hist_gradient_boosting,1,binary,1,0,0.1917241551063009,0,0,10022.046606000167,10248.574623574625,0.0,10022.046606000167,0.0
2025-07-09 08:30:00,2591.75,hist_gradient_boosting,1,binary,1,0,0.3721469074926006,0,0,10022.046606000167,10205.025830025832,0.0,10022.046606000167,0.0
2025-07-09 09:30:00,2603.06,hist_gradient_boosting,1,binary,1,0,0.1274047517594212,0,0,10022.046606000167,10249.558999559002,0.0,10022.046606000167,0.0
2025-07-09 10:30:00,2628.21,hist_gradient_boosting,1,binary,0,0,0.1364370967373554,0,0,10022.046606000167,10348.587223587225,0.0,10022.046606000167,0.0
2025-07-09 11:30:00,2631.22,hist_gradient_boosting,1,binary,0,0,0.1638561561713298,0,0,10022.046606000167,10360.43911043911,0.0,10022.046606000167,0.0
2025-07-09 12:30:00,2624.86,hist_gradient_boosting,1,binary,1,0,0.073016826059569,0,0,10022.046606000167,10335.396585396586,0.0,10022.046606000167,0.0
2025-07-09 13:30:00,2611.8,hist_gradient_boosting,1,binary,1,0,0.1596114410209862,0,0,10022.046606000167,10283.972783972786,0.0,10022.046606000167,0.0
