open_time,close,model_name,fold,task,y_true,y_pred,y_prob,signal,signal_exec,equity,strategy_return,buy_hold_equity,rolling_peak,drawdown
2025-07-08 02:30:00,2539.68,hist_gradient_boosting,1,binary,0,1,0.8637570041660276,1,0,10000.0,0.0,10000.0,10000.0,0.0
2025-07-08 03:30:00,2536.33,hist_gradient_boosting,1,binary,0,1,0.9013312523458488,1,1,9991.004497751124,-0.0008995502248875242,9986.809361809363,10000.0,-0.0008995502248875242
2025-07-08 04:30:00,2542.29,hist_gradient_boosting,1,binary,0,0,0.4067100410881512,0,1,10014.481879167028,0.0023498519514417726,10010.276885276886,10014.481879167028,0.0
2025-07-08 05:30:00,2540.58,hist_gradient_boosting,1,binary,1,1,0.5710042032550263,1,0,9998.740949284827,-0.0015718167022645835,10003.543753543754,10014.481879167028,-0.0015718167022645835
2025-07-08 06:30:00,2526.96,hist_gradient_boosting,1,binary,1,1,0.9165557948684844,1,1,9989.746579615305,-0.0008995502248876353,9949.914949914952,10014.481879167028,-0.0024699529990842573
2025-07-08 07:30:00,2528.01,hist_gradient_boosting,1,binary,1,1,0.8344806962581625,1,1,9993.897509550325,0.0004155190426442523,9954.04932904933,10014.481879167028,-0.0020554602689455415
2025-07-08 08:30:00,2538.34,hist_gradient_boosting,1,binary,1,1,0.668847137270887,1,1,10034.734753577704,0.004086218013378273,9994.723744723746,10034.734753577704,0.0
2025-07-08 09:30:00,2543.63,hist_gradient_boosting,1,binary,1,0,0.4930827342363876,0,1,10055.647533916992,0.0020840391752090515,10015.553140553142,10055.647533916992,0.0
2025-07-08 10:30:00,2552.15,hist_gradient_boosting,1,binary,0,0,0.3799266578106445,0,0,10080.250986826743,0.0024467298427839346,10049.100674100675,10080.250986826743,0.0
2025-07-08 11:30:00,2559.07,hist_gradient_boosting,1,binary,1,0,0.4578103963215273,0,0,10080.250986826743,0.0,10076.348201348203,10080.250986826743,0.0
2025-07-08 12:30:00,2553.42,hist_gradient_boosting,1,binary,1,0,0.3212025681064028,0,0,10080.250986826743,0.0,10054.101304101307,10080.250986826743,0.0
2025-07-08 13:30:00,2546.18,hist_gradient_boosting,1,binary,1,0,0.3460252519996742,0,0,10080.250986826743,0.0,10025.593775593776,10080.250986826743,0.0
2025-07-08 14:30:00,2552.01,hist_gradient_boosting,1,binary,1,0,0.0915393056604661,0,0,10080.250986826743,0.0,10048.549423549424,10080.250986826743,0.0
2025-07-08 15:30:00,2565.97,hist_gradient_boosting,1,binary,0,0,0.1721536735478061,0,0,10080.250986826743,0.0,10103.516978516978,10080.250986826743,0.0
2025-07-08 16:30:00,2575.15,hist_gradient_boosting,1,binary,0,0,0.2943289172656229,0,0,10080.250986826743,0.0,10139.663264663266,10080.250986826743,0.0
2025-07-08 17:30:00,2583.07,hist_gradient_boosting,1,binary,0,0,0.2249404391392941,0,0,10080.250986826743,0.0,10170.848295848298,10080.250986826743,0.0
2025-07-08 18:30:00,2588.11,hist_gradient_boosting,1,binary,1,1,0.55570391983874,1,0,10080.250986826743,0.0,10190.693315693317,10080.250986826743,0.0
2025-07-08 19:30:00,2563.99,hist_gradient_boosting,1,binary,1,0,0.4270325435681014,0,1,10071.18329478462,-0.0008995502248875242,10095.72072072072,10080.250986826743,-0.0008995502248875242
2025-07-08 20:30:00,2564.68,hist_gradient_boosting,1,binary,1,1,0.5695367856713067,1,0,10064.829079756737,-0.0006309303328014826,10098.437598437597,10080.250986826743,-0.0015299130041661613
2025-07-08 21:30:00,2576.17,hist_gradient_boosting,1,binary,1,0,0.3354772565283168,0,1,10055.775260494589,-0.0008995502248873022,10143.67951867952,10080.250986826743,-0.002428086995466594
2025-07-08 22:30:00,2616.65,hist_gradient_boosting,1,binary,0,0,0.2353262247352128,0,0,10204.593795425068,0.014799309956252893,10303.069678069678,10204.593795425068,0.0
2025-07-08 23:30:00,2625.06,hist_gradient_boosting,1,binary,0,0,0.1950712020923442,0,0,10204.593795425068,0.0,10336.184086184086,10204.593795425068,0.0
2025-07-09 00:30:00,2610.61,hist_gradient_boosting,1,binary,1,0,0.179824910277707,0,0,10204.593795425068,0.0,10279.287154287156,10204.593795425068,0.0
2025-07-09 01:30:00,2598.42,hist_gradient_boosting,1,binary,1,1,0.5331245642539912,0,0,10204.593795425068,0.0,10231.288981288983,10204.593795425068,0.0
2025-07-09 02:30:00,2609.27,hist_gradient_boosting,1,binary,0,0,0.0724210222957234,0,0,10204.593795425068,0.0,10274.010899010898,10204.593795425068,0.0
2025-07-09 03:30:00,2610.56,hist_gradient_boosting,1,binary,0,0,0.1340629711135172,0,0,10204.593795425068,0.0,10279.09027909028,10204.593795425068,0.0
2025-07-09 04:30:00,2615.25,hist_gradient_boosting,1,binary,0,0,0.027034607749545,0,0,10204.593795425068,0.0,10297.557172557172,10204.593795425068,0.0
2025-07-09 05:30:00,2613.27,hist_gradient_boosting,1,binary,0,0,0.1350880758275907,0,0,10204.593795425068,0.0,10289.760914760915,10204.593795425068,0.0
2025-07-09 06:30:00,2605.0,hist_gradient_boosting,1,binary,1,0,0.1806427881571485,0,0,10204.593795425068,0.0,10257.197757197759,10204.593795425068,0.0
2025-07-09 07:30:00,2602.81,hist_gradient_boosting,1,binary,1,0,0.1917241551063009,0,0,10204.593795425068,0.0,10248.574623574625,10204.593795425068,0.0
2025-07-09 08:30:00,2591.75,hist_gradient_boosting,1,binary,1,0,0.3721469074926006,0,0,10204.593795425068,0.0,10205.025830025832,10204.593795425068,0.0
2025-07-09 09:30:00,2603.06,hist_gradient_boosting,1,binary,1,0,0.1274047517594212,0,0,10204.593795425068,0.0,10249.558999559002,10204.593795425068,0.0
