entry_time,entry_price,entry_prob,exit_time,exit_price,exit_prob,gross_return,net_return,fees_paid,slippage_paid,bars_held,is_win
2025-07-08 03:30:00,2537.598165,0.9013312523458488,2025-07-08 05:30:00,2539.30971,0.5710042032550263,0.0006744744000870551,-0.0011255255999129449,8.001096818441308,2.538455,2.0,False
2025-07-08 06:30:00,2528.22348,0.9165557948684844,2025-07-08 10:30:00,2550.8739250000003,0.3799266578106445,0.008959035931428216,0.007159035931428216,8.033210259996741,2.539555,4.0,True
2025-07-08 19:30:00,2565.2719949999996,0.4270325435681014,2025-07-08 20:30:00,2563.39766,0.5695367856713067,-0.00073065741319156,-0.00253065741319156,8.059643043692976,2.564335,1.0,False
2025-07-08 21:30:00,2577.4580849999998,0.3354772565283168,2025-07-08 22:30:00,2615.341675,0.2353262247352128,0.014698043091552426,0.012898043091552427,8.109402538435335,2.5964100000000006,1.0,True
2025-07-10 02:30:00,2754.63663,0.2158302250498095,2025-07-10 03:30:00,2778.61,0.6095686629567764,0.008702915563857827,0.006902915563857827,8.1975519790439,2.76663,1.0,True
2025-07-10 04:30:00,2770.1243699999995,0.5243656569590381,2025-07-10 07:30:00,2782.038285,0.3349324440798656,0.004300859242648558,0.002500859242648558,8.24417767343348,2.776085,3.0,True
2025-07-10 10:30:00,2783.1909,0.3783182793048671,2025-07-10 11:30:00,2794.30215,0.4256347657453018,0.003992270167310519,0.002192270167310519,8.271738850873191,2.7887500000000003,1.0,True
2025-07-10 13:30:00,2789.89425,0.4071815024735255,2025-07-10 14:30:00,2776.840885,0.5007655425794961,-0.004678802789747194,-0.006478802789747194,8.262221426726278,2.783365,1.0,False
2025-07-11 04:30:00,2952.765645,0.8959069238922637,2025-07-11 08:30:00,2968.25513,0.7718456056610424,0.005245754950525372,0.0034457549505253716,8.257848983250806,2.960515,4.0,True
2025-07-11 09:30:00,2971.715115,0.4088631595424696,2025-07-11 10:30:00,3003.367565,0.3144714430205423,0.010651239696642278,0.008851239696642279,8.316882895048263,2.9875499999999997,1.0,True
2025-07-11 12:30:00,2969.9742449999994,0.648657207956613,2025-07-11 15:30:00,3001.488505,0.5410366462852862,0.010610953968053893,0.008810953968053894,8.3985767336522,2.98574,3.0,True
2025-07-11 17:30:00,2987.883195,0.7226612797057174,2025-07-11 19:30:00,2987.235635,0.6697517462482352,-0.00021672868641031684,-0.002016728686410317,8.435241974281658,2.98756,2.0,False
2025-07-11 20:30:00,2952.565545,0.7416553504158254,2025-07-12 01:30:00,2973.3126,0.4859908582146544,0.007026788968371722,0.005226788968371722,8.457184995600551,2.9629450000000004,5.0,True
2025-07-12 07:30:00,2958.1183199999996,0.5143936297260875,2025-07-12 09:30:00,2949.994265,0.7432748897933577,-0.002746359043542146,-0.004546359043542145,8.468370004854751,2.954055,2.0,False
2025-07-12 10:30:00,2954.286405,0.6001106278417029,2025-07-12 13:30:00,2965.25663,0.2175658716333764,0.0037133248088043747,0.0019133248088043747,8.465644653852983,2.9597749999999996,3.0,True
2025-07-12 18:30:00,2941.2598949999997,0.480464797885801,2025-07-12 19:30:00,2926.8358500000004,0.3026953672828264,-0.004904036200445772,-0.006704036200445772,8.453777201276115,2.9340450000000002,1.0,False
2025-07-12 21:30:00,2925.9522449999995,0.7217861124735735,2025-07-13 04:30:00,2941.8083600000004,0.3516788095241765,0.00541912979854553,0.0036191297985455296,8.449075141545105,2.933885,7.0,True
2025-07-13 22:30:00,2993.31591,0.5976596763777273,2025-07-14 00:30:00,2987.955275,0.6664491949788379,-0.0017908684419480903,-0.00359086844194809,8.457556546519104,2.990635,2.0,False
2025-07-14 01:30:00,2993.4059549999997,0.2296640377865608,2025-07-14 02:30:00,2963.507505,0.6939026374374674,-0.009988104002418785,-0.011788104002418785,8.401059003552298,2.9784499999999996,1.0,False
2025-07-14 03:30:00,2960.6795999999995,0.427197594495015,2025-07-14 04:30:00,2970.5439850000002,0.3894319299310635,0.003331797537295511,0.0015317975372955111,8.366110071020625,2.965615,1.0,True
2025-07-14 07:30:00,3002.090295,0.7691656189369266,2025-07-14 09:30:00,3051.4834950000004,0.2001634011495894,0.01645293616992971,0.014652936169929711,8.442193195743698,3.0268000000000006,2.0,True
2025-07-14 12:30:00,3046.5425099999998,0.1720556352276683,2025-07-14 13:30:00,3038.2501150000003,0.4098542900081317,-0.0027219035916224987,-0.004521903591622498,8.492710745281656,3.042395,1.0,False
2025-07-15 01:30:00,3005.4819899999998,0.5911741354761398,2025-07-15 04:30:00,3012.11319,0.3201050021713964,0.002206368237129386,0.00040636823712938584,8.483697860340495,3.0088,3.0,True
2025-07-15 06:30:00,2978.1883499999994,0.9061473497789062,2025-07-15 12:30:00,2976.001255,0.7226992822117334,-0.000734370947357732,-0.002534370947357732,8.48314001356614,2.977095,6.0,False
2025-07-15 13:30:00,2975.4769949999995,0.8838556079555329,2025-07-15 20:30:00,3038.410035,0.5776784455191474,0.02115057185982394,0.01935057185982394,8.562829716802124,3.00696,7.0,True
2025-07-15 21:30:00,3049.734105,0.7965445211093303,2025-07-16 04:30:00,3136.321055,0.6583962897290307,0.0283916390802863,0.026591639080286302,8.768239895215522,3.09305,7.0,True
