open_time,regime_label,close,reject_reason,specialist_pred_proba,specialist_pred_label,actual_label,threshold,band_name,band_min,band_max
2025-08-04 20:30:00,trend_up,3648.89,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-04 22:30:00,trend_up,3681.5,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-04 23:30:00,trend_up,3676.28,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-05 00:30:00,trend_up,3669.73,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-05 01:30:00,trend_up,3700.47,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-05 02:30:00,trend_up,3710.02,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-05 19:30:00,range,3577.85,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-05 20:30:00,range,3570.43,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-05 21:30:00,trend_down,3577.67,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 00:30:00,trend_down,3571.66,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 01:30:00,trend_down,3576.5,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 02:30:00,trend_down,3575.62,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 05:30:00,trend_down,3576.17,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 08:30:00,range,3583.66,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 09:30:00,range,3573.51,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 17:30:00,range,3584.01,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 18:30:00,range,3602.75,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 19:30:00,range,3637.17,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-06 21:30:00,range,3645.42,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 06:30:00,range,3667.55,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 07:30:00,range,3659.03,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 08:30:00,range,3656.78,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 09:30:00,range,3662.27,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 10:30:00,range,3688.0,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 11:30:00,range,3695.14,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 12:30:00,range,3702.4,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 13:30:00,range,3721.25,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 14:30:00,range,3732.41,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 15:30:00,trend_up,3821.48,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 16:30:00,trend_up,3827.0,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 19:30:00,trend_up,3820.33,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 21:30:00,trend_up,3815.29,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 22:30:00,trend_up,3830.2,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-07 23:30:00,trend_up,3827.7,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 00:30:00,trend_up,3867.6,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 01:30:00,trend_up,3874.14,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 05:30:00,high_volatility,3900.16,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 06:30:00,high_volatility,3887.36,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 13:30:00,range,3898.46,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 14:30:00,range,3900.03,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 15:30:00,range,3897.41,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 17:30:00,range,3892.37,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 20:30:00,range,3954.56,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 21:30:00,range,3970.97,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-08 22:30:00,range,4032.69,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 03:30:00,range,4024.86,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 04:30:00,range,4009.5,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 05:30:00,range,4016.99,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 06:30:00,range,4033.19,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 07:30:00,range,4032.44,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 08:30:00,range,4051.01,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 09:30:00,range,4080.92,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 11:30:00,range,4162.23,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 13:30:00,high_volatility,4189.89,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 20:30:00,high_volatility,4209.57,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 21:30:00,range,4207.77,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-09 22:30:00,range,4235.0,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-10 00:30:00,high_volatility,4258.57,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-10 03:30:00,high_volatility,4264.28,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-10 04:30:00,range,4260.62,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-08-10 16:30:00,range,4180.57,non_compression_regime,,,,0.78,ge_0.78,0.78,
