strategy_name,band_name,band_min,band_max,walk_forward_windows,min_train_rows,test_rows_per_window,step_rows,oos_trades,oos_win_rate,oos_avg_net_return,oos_total_net_return,oos_max_drawdown,oos_final_equity,oos_rejections,oos_avg_specialist_pred_proba,oos_avg_bars_held,oos_take_profit_count,oos_stop_loss_count,oos_time_exit_count,profit_factor,expectancy_dollars,nonzero_trade_windows,active_window_ratio,median_window_oos_return,passes_min_trades,passes_active_windows,passes_positive_oos,passes_drawdown,passes_median_window,promotable,robustness_score
compression_specialist_v7,ge_0.78,0.78,,6,506,126,126,8,0.625,0.0062369358822531844,0.021479414482782788,-0.011210402732992453,102147.94144827829,672,0.8699859327887092,9.5,1,2,5,1.735122932586209,268.4926810347873,5,0.8333333333333334,0.0009669618485282916,True,True,True,True,True,True,57.072044186310535
compression_specialist_v7,0.78_to_0.90,0.78,0.9,6,506,126,126,6,0.5,0.002683242388713199,0.009374162449107715,-0.011077551548173581,100937.41624491077,698,0.8440601917970526,8.666666666666666,1,2,3,1.3239489502712685,156.2360408184588,4,0.6666666666666666,0.0,False,True,True,True,True,False,36.398141642185685
compression_specialist_v7,0.78_to_0.95,0.78,0.95,6,506,126,126,7,0.5714285714285714,0.0029679718673589835,0.013039381741707379,-0.011117776132039348,101303.93817417073,685,0.852157355042559,9.142857142857142,1,2,4,1.4499847776692383,186.27688202439,4,0.6666666666666666,0.0,False,True,True,True,True,False,41.3156742919919
