strategy_name,band_name,band_min,band_max,threshold,entry_time,exit_time,regime_label,side,entry_price,exit_price,specialist_pred_proba,specialist_pred_label,actual_label,vol20,stop_pct,take_profit_pct,stop_price,take_profit_price,qty,bars_held,exit_reason,gross_return,net_return,pnl_dollars,account_equity,equity_curve,running_peak,drawdown,wf_window_id,wf_train_start_time,wf_train_end_time,wf_test_start_time,wf_test_end_time,wf_equity_curve,wf_running_peak,wf_drawdown
compression_specialist_v7,ge_0.78,0.78,,0.78,2025-10-25 23:30:00,2025-10-27 02:30:00,compression,long,3959.68,4079.37582,0.9947859770117604,1,0,0.01747587217206156,0.03495174434412312,0.06990348868824624,3821.2822769554627,4236.4754460890745,7.225552400729834,12,time_exit,0.02991968398651259,0.02911968398651259,833.139648190659,100833.13964819066,0.008331396481906506,0.008331396481906506,0.0,1,2025-08-04 20:30:00,2025-10-16 04:30:00,2025-10-16 05:30:00,2025-11-04 10:30:00,0.008331396481906506,0.008331396481906506,0.0
compression_specialist_v7,ge_0.78,0.78,,0.78,2025-11-29 20:30:00,2025-12-01 09:30:00,compression,long,3007.41,2951.604968904835,0.7992156629875056,1,0,0.00913066124677533,0.01826132249355066,0.03652264498710132,2952.4907161196707,3117.248567760658,18.360242982757967,8,stop_loss,-0.018850189040090504,-0.019650189040090502,-1085.0201327382274,99748.11951545243,-0.010760550911375844,-0.010760550911375844,0.0,3,2025-08-04 20:30:00,2025-11-21 15:30:00,2025-11-21 17:30:00,2025-12-08 20:30:00,-0.0025188048454757306,0.008331396481906506,-0.010850201327382236
compression_specialist_v7,ge_0.78,0.78,,0.78,2025-12-21 07:30:00,2025-12-22 11:30:00,compression,long,2965.72,3023.802587,0.8985076491037071,1,1,0.010141853627352326,0.02028370725470465,0.0405674145094093,2905.564203720577,3086.031592558845,16.581630646550515,12,time_exit,0.019278865936270217,0.018478865936270218,908.7254636321874,100656.84497908462,0.009110201455892142,0.009110201455892142,0.0,4,2025-08-04 20:30:00,2025-12-08 20:30:00,2025-12-09 11:30:00,2025-12-29 23:30:00,0.006568449790846254,0.008331396481906506,-0.001762946691060252
compression_specialist_v7,ge_0.78,0.78,,0.78,2025-12-28 15:30:00,2025-12-29 23:30:00,compression,long,2943.34,2918.934057,0.8087606178631487,1,0,0.006601530358706862,0.013203060717413725,0.02640612143482745,2904.478903268008,3021.0621934639853,25.901699499957385,11,time_exit,-0.008589344279567665,-0.009389344279567665,-715.8202115644198,99941.0247675202,0.0019339236970565832,0.009110201455892142,-0.007176277758835559,4,2025-08-04 20:30:00,2025-12-08 20:30:00,2025-12-09 11:30:00,2025-12-29 23:30:00,-0.0005897523247980763,0.008331396481906506,-0.008921148806704582
compression_specialist_v7,ge_0.78,0.78,,0.78,2026-01-02 14:30:00,2026-01-04 05:30:00,compression,long,3048.15,3149.5055982669983,0.8577547558676489,1,1,0.008390395279681462,0.016780790559362924,0.03356158111872585,2996.9996332564783,3150.450733487044,19.53867217974095,6,take_profit,0.032941630155343696,0.032141630155343694,1914.2527546959805,101855.27752221617,0.01915382355893236,0.01915382355893236,0.0,5,2025-08-04 20:30:00,2025-12-29 23:30:00,2025-12-30 07:30:00,2026-01-21 17:30:00,0.0185527752221617,0.0185527752221617,0.0
compression_specialist_v7,ge_0.78,0.78,,0.78,2026-01-04 12:30:00,2026-01-05 21:30:00,compression,long,3141.29,3182.9448300000004,0.8980143088241779,1,0,0.005952503441139823,0.011905006882279646,0.023810013764559292,3103.8929209307635,3216.0841581384725,27.236158560309825,12,time_exit,0.01295653471348437,0.012156534713484369,1040.0726595071949,102895.35018172336,0.029560687626281945,0.029560687626281945,0.0,5,2025-08-04 20:30:00,2025-12-29 23:30:00,2025-12-30 07:30:00,2026-01-21 17:30:00,0.02895350181723355,0.02895350181723355,0.0
compression_specialist_v7,ge_0.78,0.78,,0.78,2026-01-12 04:30:00,2026-01-13 18:30:00,compression,long,3123.45,3141.497268,0.9007403345155973,1,1,0.006439158499348446,0.012878316998696892,0.025756633997393783,3083.22522077042,3203.8995584591594,25.58009071832468,12,time_exit,0.00547634873923369,0.004676348739233689,373.631539854159,103268.98172157753,0.033299207825802535,0.033299207825802535,0.0,5,2025-08-04 20:30:00,2025-12-29 23:30:00,2025-12-30 07:30:00,2026-01-21 17:30:00,0.03268981721577524,0.03268981721577524,0.0
compression_specialist_v7,ge_0.78,0.78,,0.78,2026-01-25 17:30:00,2026-01-25 22:30:00,compression,long,2942.38,2893.7039294105784,0.802108156136128,1,0,0.008123984478396946,0.016247968956793892,0.032495937913587784,2894.5723011009086,3037.9953977981827,21.600910334452553,3,stop_loss,-0.01683804315316092,-0.017638043153160917,-1121.0402732992347,102147.94144827829,-0.010855537205950783,-0.010855537205950783,0.0,6,2025-08-04 20:30:00,2026-01-21 17:30:00,2026-01-21 18:30:00,2026-02-10 20:30:00,0.021479414482782788,0.03268981721577524,-0.011210402732992453
compression_specialist_v7,0.78_to_0.90,0.78,0.9,0.78,2025-11-29 20:30:00,2025-12-01 09:30:00,compression,long,3007.41,2951.604968904835,0.7992156629875056,1,0,0.00913066124677533,0.01826132249355066,0.03652264498710132,2952.4907161196707,3117.248567760658,18.208540413218625,8,stop_loss,-0.018850189040090504,-0.019650189040090502,-1076.055091137586,98923.94490886241,-0.010760550911375955,-0.010760550911375955,0.0,3,2025-08-04 20:30:00,2025-11-21 15:30:00,2025-11-21 17:30:00,2025-12-08 20:30:00,-0.010760550911375955,-0.010760550911375955,0.0
compression_specialist_v7,0.78_to_0.90,0.78,0.9,0.78,2025-12-21 07:30:00,2025-12-22 11:30:00,compression,long,2965.72,3023.802587,0.8985076491037071,1,1,0.010141853627352326,0.02028370725470465,0.0405674145094093,2905.564203720577,3086.031592558845,16.444623964308,12,time_exit,0.019278865936270217,0.018478865936270218,901.2170669313215,99825.16197579373,0.009110201455892142,0.009110201455892142,0.0,4,2025-08-04 20:30:00,2025-12-08 20:30:00,2025-12-09 11:30:00,2025-12-29 23:30:00,-0.001748380242062697,-0.001748380242062697,0.0
compression_specialist_v7,0.78_to_0.90,0.78,0.9,0.78,2025-12-28 15:30:00,2025-12-29 23:30:00,compression,long,2943.34,2918.934057,0.8087606178631487,1,0,0.006601530358706862,0.013203060717413725,0.02640612143482745,2904.478903268008,3021.0621934639853,25.68768520977236,11,time_exit,-0.008589344279567665,-0.009389344279567665,-709.9057056657507,99115.25627012798,0.0019339236970565832,0.009110201455892142,-0.007176277758835559,4,2025-08-04 20:30:00,2025-12-08 20:30:00,2025-12-09 11:30:00,2025-12-29 23:30:00,-0.008847437298720173,-0.001748380242062697,-0.007099057056657476
compression_specialist_v7,0.78_to_0.90,0.78,0.9,0.78,2026-01-02 14:30:00,2026-01-04 05:30:00,compression,long,3048.15,3149.5055982669983,0.8577547558676489,1,1,0.008390395279681462,0.016780790559362924,0.03356158111872585,2996.9996332564783,3150.450733487044,19.37723277080518,6,take_profit,0.032941630155343696,0.032141630155343694,1898.436130596405,101013.6924007244,0.01915382355893258,0.01915382355893258,0.0,5,2025-08-04 20:30:00,2025-12-29 23:30:00,2025-12-30 07:30:00,2026-01-21 17:30:00,0.010136924007243975,0.010136924007243975,0.0
compression_specialist_v7,0.78_to_0.90,0.78,0.9,0.78,2026-01-04 12:30:00,2026-01-05 21:30:00,compression,long,3141.29,3182.9448300000004,0.8980143088241779,1,0,0.005952503441139823,0.011905006882279646,0.023810013764559292,3103.8929209307635,3216.0841581384725,27.01111822495805,12,time_exit,0.01295653471348437,0.012156534713484369,1031.4789990037348,102045.17139972813,0.029560687626282167,0.029560687626282167,0.0,5,2025-08-04 20:30:00,2025-12-29 23:30:00,2025-12-30 07:30:00,2026-01-21 17:30:00,0.020451713997281296,0.020451713997281296,0.0
