run_ts,strategy_name,open_time,regime_label,close,specialist_pred_proba,specialist_pred_label,actual_label,decision,reject_reason,threshold,required_regime,required_label,current_equity_before,current_equity_after
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-04 20:30:00,trend_up,3648.89,0.9999994369526103,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-04 22:30:00,trend_up,3681.5,0.9999986819007239,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-04 23:30:00,trend_up,3676.28,0.999998814712973,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-05 00:30:00,trend_up,3669.73,0.9999969688277559,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-05 01:30:00,trend_up,3700.47,0.9999996033962314,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-05 02:30:00,trend_up,3710.02,0.9999995998604461,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-05 19:30:00,range,3577.85,0.9999968336127391,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-05 20:30:00,range,3570.43,0.9999956217705931,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-05 21:30:00,trend_down,3577.67,0.9999910395671595,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 00:30:00,trend_down,3571.66,0.9999994297978557,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 01:30:00,trend_down,3576.5,0.9999909642283281,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 02:30:00,trend_down,3575.62,0.9999867358357555,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 05:30:00,trend_down,3576.17,0.9999953035665374,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 08:30:00,range,3583.66,0.9999946043495951,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 09:30:00,range,3573.51,0.9999967897914058,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 17:30:00,range,3584.01,0.999996885473612,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 18:30:00,range,3602.75,0.9999981579425475,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 19:30:00,range,3637.17,0.9999972142320984,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-06 21:30:00,range,3645.42,0.9999969844118466,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
