run_ts,trade_id,strategy_name,entry_time,exit_time,side,regime_label,threshold,entry_price,exit_price,fill_entry,fill_exit,specialist_pred_proba,specialist_pred_label,actual_label,vol20,stop_pct,take_profit_pct,stop_price,take_profit_price,qty,bars_held,exit_reason,gross_return,net_return,pnl_dollars,account_equity_after
2026-04-18 16:26:55.266437,87a34027-0cd9-468a-b506-3615f4c916a7,compression_specialist_paper_v1,2025-09-07 13:30:00,2025-09-08 16:30:00,long,compression,0.78,4301.14,4312.41,4302.430342000001,4311.116277,0.92215927585031,1,0,0.009076445720433665,0.01815289144086733,0.03630578288173466,4223.0618725080285,4457.296254983944,12.80768420199138,12,time_exit,0.0020188438416325013,0.0012188438416325014,67.1432342116329,100067.14323421163
2026-04-18 16:26:55.266437,5fcfe36f-b092-4334-a7c1-37ac25ef227a,compression_specialist_paper_v1,2025-09-09 18:30:00,2025-09-10 05:30:00,long,compression,0.78,4347.42,4293.60328499285,4348.724226,4292.315204007352,0.9655437105463311,1,0,0.006189500325152668,0.012379000650305337,0.024758001300610673,4293.60328499285,4455.053430014301,18.594063799865168,1,stop_loss,-0.012971395531450831,-0.013771395531450832,-1113.2273501792583,98953.91588403238
2026-04-18 16:26:55.266437,7660e4f7-e7fc-434d-a00a-e22b86c54918,compression_specialist_paper_v1,2025-09-19 17:30:00,2025-09-19 23:30:00,long,compression,0.78,4518.59,4453.53617421098,4519.945577,4452.200113358716,0.8393075627733539,1,0,0.007198465205851803,0.014396930411703606,0.02879386082340721,4453.53617421098,4648.69765157804,15.211083235128418,2,stop_loss,-0.014988114898110862,-0.015788114898110862,-1085.1589532759522,97868.75693075643
2026-04-18 16:26:55.266437,1c6a2b3f-f273-481d-9028-c1e70867a4d6,compression_specialist_paper_v1,2025-09-21 21:30:00,2025-09-22 14:30:00,long,compression,0.78,4476.83,4414.78051217743,4478.173049,4413.456078023777,0.9594805647015116,1,0,0.006930069694691353,0.013860139389382705,0.02772027877876541,4414.78051217743,4600.92897564514,15.772693758667446,6,stop_loss,-0.014451645853809637,-0.015251645853809637,-1076.944162627901,96791.81276812853
2026-04-18 16:26:55.266437,dcb4f90d-ac52-47c6-b546-661307a921f0,compression_specialist_paper_v1,2025-09-27 22:30:00,2025-09-29 16:30:00,long,compression,0.78,4001.68,4103.21,4002.8805039999997,4101.979037,0.9933115431624506,1,0,0.01990390320933224,0.03980780641866448,0.07961561283732896,3842.3818972105587,4320.276205578882,6.07614347397891,12,time_exit,0.02475680523087639,0.023956805230876392,582.5044922199721,97374.3172603485
2026-04-18 16:26:55.266437,68ebfb3a-a867-4bce-b769-7939115b2a00,compression_specialist_paper_v1,2025-10-25 23:30:00,2025-10-27 02:30:00,long,compression,0.78,3959.68,4080.6,3960.8679039999997,4079.37582,0.9947859770117604,1,0,0.01747587217206156,0.03495174434412312,0.06990348868824624,3821.2822769554627,4236.4754460890745,7.035832318499396,12,time_exit,0.02991968398651259,0.02911968398651259,811.2640442509237,98185.58130459943
2026-04-18 16:26:55.266437,fc7a4775-df3d-4c69-bc7b-9de511716a8d,compression_specialist_paper_v1,2025-11-29 20:30:00,2025-12-01 09:30:00,long,compression,0.78,3007.41,2952.4907161196707,3008.312223,2951.604968904835,0.7992156629875056,1,0,0.00913066124677533,0.01826132249355066,0.03652264498710132,2952.4907161196707,3117.248567760658,17.878161251801615,8,stop_loss,-0.018850189040090504,-0.019650189040090502,-1056.5309463911758,97129.05035820826
2026-04-18 16:26:55.266437,c2c369f5-56d9-4309-bb53-9800ec5b39a6,compression_specialist_paper_v1,2025-12-21 07:30:00,2025-12-22 11:30:00,long,compression,0.78,2965.72,3024.71,2966.6097159999995,3023.802587,0.8985076491037071,1,1,0.010141853627352326,0.02028370725470465,0.0405674145094093,2905.564203720577,3086.031592558845,16.146249632711275,12,time_exit,0.019278865936270217,0.018478865936270218,884.865215982779,98013.91557419104
2026-04-18 16:26:55.266437,96c95b4f-c998-4b26-bbe7-6c0afcf0ef5c,compression_specialist_paper_v1,2025-12-28 15:30:00,2025-12-30 07:30:00,long,compression,0.78,2943.34,2928.08,2944.223002,2927.201576,0.8087606178631487,1,0,0.006601530358706862,0.013203060717413725,0.02640612143482745,2904.478903268008,3021.0621934639853,25.22160304691061,12,time_exit,-0.005781296453576259,-0.006581296453576259,-488.5674986851862,97525.34807550586
2026-04-18 16:26:55.266437,f8c6322d-43b9-4e6e-8a24-c06dc3bb2c0e,compression_specialist_paper_v1,2026-01-02 14:30:00,2026-01-04 05:30:00,long,compression,0.78,3048.15,3150.450733487044,3049.064445,3149.5055982669983,0.8577547558676489,1,1,0.008390395279681462,0.016780790559362924,0.03356158111872585,2996.9996332564783,3150.450733487044,19.06640250782892,6,take_profit,0.032941630155343696,0.032141630155343694,1867.9833095617125,99393.33138506756
